,date,rate,symbol,sentiment,count
111,11:51.9,9220.73,BTCUSDT,0.408600001,61
112,12:53.6,9218.02,BTCUSDT,0.506328813,59
113,13:55.1,9218.12,BTCUSDT,0.39175714,56
114,14:56.5,9218.02,BTCUSDT,0.340892424,66
115,15:58.2,9216.04,BTCUSDT,0.410674073,54
116,17:00.1,9214.9,BTCUSDT,0.45846585,41
117,18:01.9,9219.99,BTCUSDT,0.38366522,46
118,19:03.5,9215.01,BTCUSDT,0.494389795,49
119,20:05.0,9220.6,BTCUSDT,0.477410712,56
120,21:06.4,9215,BTCUSDT,0.416881818,55
121,22:08.1,9217.04,BTCUSDT,0.426321619,37
122,23:09.6,9211.97,BTCUSDT,0.449481081,37
123,24:11.6,9204.87,BTCUSDT,0.399653334,45
124,25:13.0,9206.39,BTCUSDT,0.367863635,44
125,26:14.7,9205.61,BTCUSDT,0.423485455,55
126,27:16.2,9207.1,BTCUSDT,0.532790696,43
127,28:17.7,9212.99,BTCUSDT,0.426444446,45
128,29:19.3,9214.98,BTCUSDT,0.400295001,60
129,30:20.7,9212.07,BTCUSDT,0.375241661,36
130,31:22.7,9217.06,BTCUSDT,0.424368568,35
131,32:24.2,9216.62,BTCUSDT,0.426199999,40
132,33:25.7,9214.01,BTCUSDT,0.446421872,32
133,34:27.2,9213.9,BTCUSDT,0.401408697,46
134,35:28.9,9213.99,BTCUSDT,0.459886957,46
135,36:30.3,9217,BTCUSDT,0.402021206,33
136,37:31.8,9230,BTCUSDT,0.454675,48
137,38:33.3,9230.2,BTCUSDT,0.410509303,43
138,39:34.8,9229.74,BTCUSDT,0.399583721,43
139,40:36.8,9223.12,BTCUSDT,0.369883337,48
140,41:38.5,9223,BTCUSDT,0.388562167,37
141,42:40.0,9218.03,BTCUSDT,0.347206977,43
142,43:41.4,9223.01,BTCUSDT,0.285813635,44
143,44:43.0,9223.99,BTCUSDT,0.395088887,36
144,45:44.4,9227.57,BTCUSDT,0.38807619,42
145,46:45.9,9222.22,BTCUSDT,0.393419049,42
146,47:47.4,9224.99,BTCUSDT,0.432117075,41
147,48:48.9,9223.01,BTCUSDT,0.447063161,38
148,49:50.5,9224.25,BTCUSDT,0.530358699,46
149,50:52.0,9219.22,BTCUSDT,0.338799997,46
150,51:53.6,9201.64,BTCUSDT,0.472238097,42
151,52:55.0,9203.55,BTCUSDT,0.454000004,50
152,53:56.5,9212.45,BTCUSDT,0.308280954,42
153,54:58.0,9218,BTCUSDT,0.439690478,42
154,55:59.7,9215.01,BTCUSDT,0.478194598,37
155,57:01.2,9218.57,BTCUSDT,0.348758617,29
156,58:02.6,9208.99,BTCUSDT,0.372389363,47
157,59:04.1,9205.11,BTCUSDT,0.337876087,46
158,00:05.6,9210,BTCUSDT,0.331131648,79
159,01:07.1,9216,BTCUSDT,0.461651785,56
160,02:08.7,9222.62,BTCUSDT,0.423413207,53
161,03:10.2,9220,BTCUSDT,0.410009306,43
162,04:11.7,9219.12,BTCUSDT,0.438396428,56
163,05:13.2,9223.9,BTCUSDT,0.510350985,51
164,06:14.9,9227.45,BTCUSDT,0.561169813,53
165,07:16.6,9237.88,BTCUSDT,0.39056579,38
166,08:18.2,9211.08,BTCUSDT,0.455156255,32
167,09:19.7,9220,BTCUSDT,0.368672549,51
168,10:21.2,9220.04,BTCUSDT,0.399930616,49
169,11:22.7,9220,BTCUSDT,0.426624526,53
170,12:24.2,9222.49,BTCUSDT,0.411311362,44
171,13:25.8,9207.37,BTCUSDT,0.436323259,43
172,14:27.3,9208.04,BTCUSDT,0.468005085,59
173,15:29.4,9213.81,BTCUSDT,0.514440001,40
174,16:30.9,9213,BTCUSDT,0.517301786,56
175,17:32.3,9212.01,BTCUSDT,0.484582356,51
176,18:33.8,9217.59,BTCUSDT,0.393719999,55
177,19:35.4,9215,BTCUSDT,0.428082608,46
178,20:37.1,9216,BTCUSDT,0.45063208,53
179,21:38.5,9213.03,BTCUSDT,0.428693334,60
180,22:40.0,9212.01,BTCUSDT,0.44187414,58
181,23:41.5,9212.01,BTCUSDT,0.373114997,40
182,24:43.0,9220,BTCUSDT,0.509319234,78
183,25:44.5,9218,BTCUSDT,0.529148718,39
184,26:45.9,9220,BTCUSDT,0.490392307,52
185,27:47.4,9230,BTCUSDT,0.458964815,54
186,28:49.0,9223.79,BTCUSDT,0.508602943,34
187,29:50.6,9038.79,BTCUSDT,0.408543284,67
188,30:52.1,9232.47,BTCUSDT,0.479335293,51
189,31:53.7,9232.72,BTCUSDT,0.454682224,45
190,32:55.4,9237.64,BTCUSDT,0.504165721,35
191,33:56.9,9237.21,BTCUSDT,0.396573471,49
192,34:58.3,9241,BTCUSDT,0.456236735,49
193,35:59.9,9247.93,BTCUSDT,0.468773687,57
194,37:01.3,9250.01,BTCUSDT,0.465612246,49
195,38:02.8,9258,BTCUSDT,0.471101696,59
196,39:04.3,9251.12,BTCUSDT,0.446433333,57
197,40:05.9,9257.9,BTCUSDT,0.432646033,63
198,41:07.4,9245,BTCUSDT,0.37573889,54
199,42:08.9,9245.3,BTCUSDT,0.490504449,45
200,43:10.3,9250,BTCUSDT,0.520661822,55
